Annexure II-  Nifty Next 50 Index : July 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
38,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,36234.35737,1.56749901,1.14473361,0.26603917,1.59302254,-4.63348416,0.02
39,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,49225.35253,2.12948972,1.8500119,0.44178545,1.02921426,-1.78926441,0.03
40,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,10554442601,42856.53082,1.85397437,1.68732991,0.40304555,1.84900055,-5.8612672,0.03
41,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,41087.17137,1.77743184,0.82995781,0.25724104,1.14547047,-0.7089913,0.03
42,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,26751.24204,1.15725926,0.798121763,0.08409633,1.21956117,-6.70767338,0.02
43,SWIGGY,Swiggy Ltd.,E-RETAIL/ E-COMMERCE,2493646892,15658.21012,0.67737448,1.20946954,0.09431998,1.89072658,0.83666334,0.04
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,65620.52225,2.83874508,1.25960912,0.37571757,1.09960634,-3.98217958,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,66606.61009,2.88140326,1.33853716,0.40118338,0.97510501,-1.89912443,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,39028.04882,1.68835416,0.58939529,0.12061569,1.33613915,9.79109207,0.02
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,39470.44917,1.70749241,0.71913981,0.15438334,1.01803579,-6.15503116,0.02
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763833788,69858.55496,3.02208246,0.84719426,0.10044563,1.68316475,14.21702546,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,72001.56625,3.11478917,1.54512523,0.40327585,1.2727294,-7.63806011,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,24151.01064,1.0447732,0.76083476,0.16967162,0.98160125,-2.03545634,0.02
,,,,,2311603.203,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2024 to 31-Jul-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2025 to 31-Jul-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 31-Jul-2025,,,,,,,,,,,
