Annexure II-  Nifty Next 50 Index : December 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
40,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,35442.20373,1.53501064,0.86900844,0.25948968,0.92959525,0.66287879,0.03
41,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,22579.35503,0.97791747,-,-,2.03901841,-18.97392075,0.03
42,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,26999.10896,1.16933811,0.581833445,0.041535794,1.30553453,-7.08826206,0.02
43,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,29763.84566,1.28907954,1.05680719,0.15957733,1.90032704,-7.68535262,0.02
44,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,87096.46978,3.77216972,1.21847408,0.30494989,1.30651885,5.33201189,0.02
45,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,63568.33035,2.75316016,1.29009657,0.41421582,0.88206855,-2.69161753,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,40154.75093,1.73911223,0.6100854,0.120219,0.62460069,3.47793367,0.02
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,42521.89982,1.84163403,0.8094566,0.16246867,1.1143084,-0.54422706,0.03
48,VBL,Varun Beverages Ltd.,Other Beverages,6763977538,66850.00046,2.89529011,1.04377812,0.14971055,1.09897724,1.72360087,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,102248.2599,4.42839751,1.56856935,0.36648637,1.39074772,14.90494297,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,22816.41316,0.98818452,0.94631201,0.23237495,0.68644459,-2.9867374,0.02
,,,,,2308922.353,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2025 to 31-Dec-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2025 to 31-Dec-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 31-Dec-2025,,,,,,,,,,,
