Annexure II-  Nifty Next 50 Index : May 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
46,UNIONBANK,Union Bank of India,Public Sector Bank,76336056070,32348.89,1.29,1.51,0.36,1.65,1.17,0.03
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,37407.50,1.49,0.80,0.19,1.37,-4.19,0.03
48,VBL,Varun Beverages Ltd.,Other Beverages,6764188788,72059.31,2.87,1.12,0.25,1.54,2.78,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,59745.18,2.38,1.06,0.17,3.15,29.85,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,26883.82,1.07,0.85,0.26,1.88,20.83,0.03
51,DUMMYVEDL1,Dummy Vedanta Ltd. 1,Aluminium,3910388057,20506.69,0.82,-,-,-,-,-
52,DUMMYVEDL2,Dummy Vedanta Ltd. 2,Power Generation,39103880570,20506.69,0.82,-,-,-,-,-
53,DUMMYVEDL3,Dummy Vedanta Ltd. 3,Oil Exploration & Production,3910388057,20506.69,0.82,-,-,-,-,-
54,DUMMYVEDL4,Dummy Vedanta Ltd. 4,Iron & Steel,3910388057,20506.69,0.82,-,-,-,-,-
,,,,,2510672.94,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-Jun-2025 to 29-May-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 04-May-2026 to 29-May-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 29-May-2026,,,,,,,,,,,
