Annexure II-  Nifty Next 50 Index : August 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,76740.74,3.39,1.29,0.37,1.80,16.95,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,62654.59,2.77,1.32,0.39,0.94,-5.93,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,37128.74,1.64,0.60,0.12,1.06,-4.87,0.02
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,38610.48,1.71,0.72,0.1503,1.14,-2.18,0.02
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763833788,65119.78,2.88,0.86,0.11,1.43,-6.78,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,71155.78,3.15,1.49,0.38,1.69,-1.17,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,24431.17,1.08,0.80,0.20,1.75,1.16,0.03
,,,,,2261343.154,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-Sep-2024 to 29-Aug-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2025 to 29-Aug-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 29-Aug-2025,,,,,,,,,,,
