Annexure II-  Nifty Next 50 Index : August 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,50512.84418,1.83105252,1.26405103,0.19924813,1.77982905,-6.9963137,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,13462.15732,0.48799305,1.68789738,0.15995799,1.66994723,14.10738457,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,26431.91726,0.95813707,2.08371388,0.26973043,1.46669844,3.2647585,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,26701.70963,0.96791684,1.81239181,0.21753384,1.2906091,2.20567771,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,9670.977484,0.35056564,1.84995016,0.17940903,0.855016,-0.05022321,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,48532.6726,1.75927279,1.74553513,0.42058674,1.34555605,1.44722119,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,29015.11477,1.05177603,0.22504321,0.01520831,1.10661473,4.64726772,0.04
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,16398.71333,0.59444099,0.40902353,0.03958159,2.18549064,12.68999854,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,57016.70639,2.06681262,1.78464498,0.41458214,1.72872756,-7.89760349,0.02
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165796049,18745.98865,0.67952796,0.76483552,0.13928871,0.91075923,10.05553352,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,136683.4448,4.95467182,1.76663931,0.3609696,1.98295047,3.3180778,0.02
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,36123.24342,1.30944034,0.55863432,0.10306027,1.30710924,2.62304749,0.04
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,46483.76296,1.68500136,1.61686812,0.35648482,1.51436738,-3.98426383,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1680101104,71842.67051,2.60424264,1.02135234,0.18018745,1.67021057,-0.48472076,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,54906.47976,1.99031849,0.37333007,0.04208059,1.16256508,20.01125512,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,69093.73418,2.50459577,1.52713825,0.38631496,1.66793665,7.8084268,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772311381,44891.69274,1.62729002,0.26937883,0.02921983,1.30460813,5.82653571,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,78434.8332,2.84320357,1.88750524,0.38039672,1.80915724,9.75631974,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022820329,65833.88851,2.38642882,0.4960011,0.06281468,1.72606148,4.71708398,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626919070,56010.28596,2.03033064,0.61801414,0.10458128,1.61012253,1.50625549,0.02
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,111304.9473,4.03472042,1.61945944,0.27993235,2.31889711,-6.48525431,0.02
22,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4931507070,58580.89386,2.12351324,0.61312211,0.11473933,1.23356434,12.19580341,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14418401860,34593.06187,1.25397241,0.67138632,0.0975844,2.14435675,21.50404491,0.04
24,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,1.41E+11,80535.83257,2.91936321,1.49374765,0.27568542,1.74843845,9.68423595,0.02
25,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,36252.37433,1.31412124,1.38015574,0.24275711,1.36876993,-0.16173869,0.03
26,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,1.31E+11,13915.35553,0.50442115,1.90721712,0.14466351,3.38111028,11.41476325,0.03
27,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1293841200,65868.44866,2.3876816,1.06417662,0.20431584,1.67697621,3.55740254,0.03
28,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3859796890,89621.85501,3.24872467,0.92738833,0.17562724,1.15512058,5.7695264,0.03
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,43819.43846,1.58842161,1.35400651,0.28740631,1.76770465,-5.37629261,0.03
