Annexure II- Nifty Next 50 Index : June 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,145829.19,5.55,0.72,0.08,2.42,20.19,0.02
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,44841.96,1.71,0.57,0.08,2.14,10.10,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6497133565,30770.23,1.17,0.59,0.0731,1.96,14.21,0.04
48,VEDL,Vedanta Ltd.,ALUMINIUM,3717206239,77431.19,2.95,1.19,0.18,3.08,0.89,0.09
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8826985307,48671.82,1.85,0.82,0.08,2.45,11.95,0.04
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,32619.92,1.24,0.62,0.09,1.83,7.38,0.03
,,,,,2627259.24,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2023 to 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2023 to 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
