Annexure II-  Nifty Next 50 Index : June 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
38,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,37994.84238,1.59834766,1.12759774,0.25706272,1.43628747,4.42260442,0.03
39,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,50122.17069,2.10851392,1.86270629,0.41436282,1.52699621,0.02485707,0.04
40,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,45524.86479,1.9151168,1.74156351,0.43091622,1.41250399,1.11677116,0.03
41,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,41380.55591,1.74077613,0.83017811,0.25499545,1.22803909,4.84879203,0.03
42,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,28674.64347,1.20627028,0.777901487,0.076715268,1.59512394,-0.43177364,0.16
43,SWIGGY,Swiggy Ltd.,E-RETAIL/ E-COMMERCE,2493646892,15528.2906,0.65323621,1.24059355,0.09950714,2.44171598,20.22218886,0.05
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,68342.02439,2.87497744,1.23543233,0.36070263,1.12109832,4.93383199,0.03
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,67896.04038,2.85621601,1.37172322,0.40318553,1.24466253,3.22046843,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,35547.55498,1.49539642,0.64126337,0.13584462,1.20780336,7.35502567,0.03
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,42059.20644,1.76932525,0.66882418,0.12996661,1.93654628,-6.05223341,0.03
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763833788,61162.99621,2.57297374,0.83324674,0.09684818,1.36418917,-3.86595231,0.04
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,77955.88348,3.27940836,1.56351227,0.40954266,1.55502429,5.80874756,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,24652.80778,1.03708175,0.7827853,0.16847057,0.89833343,6.44623656,0.03
,,,,,2377132.548,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 28-Jun-2024 to 30-Jun-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-Jun-2025 to 30-Jun-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Jun-2025,,,,,,,,,,,
