Annexure II-  Nifty Next 50 Index : April 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,62585.96,2.78,1.06,0.3,1.99,10.42,0.03
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,64369.57,2.86,1.54,0.5,2.05,2.4,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,34648.83,1.54,0.51,0.1,1.65,2.91,0.03
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,46057.08,2.05,0.59,0.1158,1.2,11.6,0.03
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763520784,69881.61,3.1,0.83,0.12,1.73,-3.21,0.04
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,70939.36,3.15,1.48,0.37,3.04,-9.54,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,22125.53,0.98,0.85,0.2,2.55,0.21,0.03
51,DUMMYSIEMS,Dummy Siemens Ltd.,ELECTRICAL EQUIPMENT,712241010,176504.01,-,-,-,-,-,-
,,,,,2405650.79,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 30-Apr-2024 to 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2025 to 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
