Annexure II-  Nifty Next 50 Index : October 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
40,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,37754.68616,1.62266201,0.87821154,0.26887059,1.03486569,-3.26328379,0.02
41,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,28096.3143,1.20755399,-,-,1.47591963,-7.20111862,0.03
42,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,27288.8595,1.17285032,0.726313645,0.066157602,1.14574212,-1.05138694,0.02
43,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,33714.27245,1.44900871,0.89657066,0.11953489,1.08034033,4.14227825,0.02
44,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,82129.54291,3.52985292,1.20501829,0.32853821,1.07501219,2.03565301,0.02
45,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,67804.19698,2.9141626,1.27799407,0.41656745,0.95637018,4.18113984,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,37131.39131,1.59587336,0.60853342,0.14131204,0.72205198,-1.19615897,0.02
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,42157.95697,1.81191058,0.68720878,0.13335479,1.23100366,8.0872914,0.03
48,VBL,Varun Beverages Ltd.,Other Beverages,6763922538,63452.36032,2.72712463,0.86391202,0.10985214,2.43023743,5.84854632,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,83493.87078,3.58849049,1.49699973,0.36651768,1.37648626,5.95749249,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,24272.10481,1.04319295,0.87383698,0.22034571,0.87126025,-0.75873307,0.03
,,,,,2326712.892,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2024 to 31-Oct-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2025 to 31-Oct-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 31-Oct-2025,,,,,,,,,,,
