Annexure II-  Nifty Next 50 Index : May 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,65134.37,2.79,1.08,0.34,1.67,4.07,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,65776.18,2.82,1.5,0.51,1.88,2.19,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,33112.47,1.42,0.52,0.12,1.4,-4.43,0.03
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,44767.17,1.92,0.58,0.1233,1.12,-2.8,0.03
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763520784,63674.07,2.73,0.84,0.12,2.16,-8.88,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,73706.19,3.16,1.49,0.43,1.98,3.9,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,23165.48,0.99,0.75,0.19,1.06,4.7,0.03
51,DUMMYSIEMS,Dummy Siemens Ltd.,ELECTRICAL EQUIPMENT,712241010,176504.01,-,-,-,-,-,-
,,,,,2488168.04,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 31-May-2024 to 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-May-2025 to 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
