Annexure II-  Nifty Next 50 Index : February 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,45195.48,1.95,0.63,0.13,1.38,9.40,0.03
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,40669.28,1.76,0.67,0.15,1.29,1.34,0.03
48,VBL,Varun Beverages Ltd.,Other Beverages,6763977538,61602.72,2.66,0.93,0.15,1.54,-4.21,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,121534.00,5.25,1.47,0.28,2.35,5.41,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,22999.82,0.99,0.85,0.22,1.76,4.11,0.03
,,,,,2317069.67,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 03-Mar-2025 to 27-Feb-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2026 to 27-Feb-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 27-Feb-2026,,,,,,,,,,,
