filename,total_lines,header_row,data_start_row,blank_after_header,n_columns,column_names,row_after_header,first_data_row,last_data_row
nifty50_apr08.csv,82,5,6,False,11,Sr. No | Security Symbol | Industry | Equity | Market Capitalisation as on 30-04-2008 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost Apr 08, |  |  |  | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  | 
nifty50_apr09.csv,79,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity | Market Capitalisation for April 2009 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost April 2009, |  |  |  |  | (Rs. Crores) | % |  |  | % |  | %, |  |  |  |  | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  | 
nifty50_apr10.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for April 2010 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost April 2010, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  | 
nifty50_apr11.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for April. 2011 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost April 2011, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr12.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for April 2012 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost April 2012, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr13.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for April 2013 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost April 2013, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr14.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for March 2014 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost March 2014, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr15.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ASIANPAINT | Asian Paints Ltd. | PAINTS | 959197790 | 34525.12 | 1.21 | 0.93 | 0.19 | 1.59 | -6.02 | 0.07,1 | ASIANPAINT | Asian Paints Ltd. | PAINTS | 959197790 | 34525.12 | 1.21 | 0.93 | 0.19 | 1.59 | -6.02 | 0.07,* Impact Cost for CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr16.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1881915760 | 13579.43 | 0.47 | 0.79 | 0.37 | 1.24 | 4.43 | 0.03,1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1881915760 | 13579.43 | 0.47 | 0.79 | 0.37 | 1.24 | 4.43 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr17.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 13745.04 | 0.39 | 1.16 | 0.35 | 1.87 | 12.48 | 0.02,1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 13745.04 | 0.39 | 1.16 | 0.35 | 1.87 | 12.48 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr18.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 28678.95 | 0.68 | 1.32 | 0.24 | 1.37 | 15.02 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 28678.95 | 0.68 | 1.32 | 0.24 | 1.37 | 15.02 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr19.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 30911.85 | 0.65 | 1.37 | 0.25 | 1.05 | 3.87 | 0.02,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 30911.85 | 0.65 | 1.37 | 0.25 | 1.05 | 3.87 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr20.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4063503522 | 22397.63 | 0.55 | 0.93 | 0.46 | 2.03 | 15.44 | 0.04,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4063503522 | 22397.63 | 0.55 | 0.93 | 0.46 | 2.03 | 15.44 | 0.04,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr21.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4063503522 | 53398.09 | 0.84 | 1.12 | 0.30 | 4.18 | 3.94 | 0.04,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4063503522 | 53398.09 | 0.84 | 1.12 | 0.30 | 4.18 | 3.94 | 0.04,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_apr22.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 61507.24 | 0.82 | 1.37 | 0.34 | 2.63 | 10.62 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 61507.24 | 0.82 | 1.37 | 0.34 | 2.63 | 10.62 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
