Annexure II-  Nifty 50 Index : June 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,952834816,69015.45,0.65,0.54,0.10,1.51,3.51,0.03
45,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6647957824,174365.13,1.64,0.93,0.23,1.86,7.23,0.02
46,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,143369.07,1.35,1.49,0.46,2.96,4.07,0.03
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4889411805,90916.41,0.86,0.89,0.20,1.66,16.44,0.04
48,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,142043.48,1.34,0.66,0.17,1.60,5.01,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886973180,134739.66,1.27,1.08,0.38,2.53,17.67,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10459888156,72701.19,0.68,1.00,0.28,1.76,17.49,0.03
,,,,,10613880.44,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2023 to 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2023 to 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Jun-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
