Annexure II-  Nifty 50 Index : May 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7362378430,149743.99,1.34,1.24,0.35,1.92,11.68,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,132787.24,1.19,1.41,0.51,1.75,14.95,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4894968560,99559.26,0.89,0.92,0.27,1.58,4.72,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,146224.02,1.31,0.69,0.21,1.22,5.19,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,125078.34,1.12,1.31,0.24,2.25,9.11,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2946774100,130066.12,1.16,1.03,0.4,1.24,-3.7,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,20943711336,70723.49,0.63,1.03,0.27,1.7,3.38,0.02
,,,,,11165662.25,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 31-May-2024 to 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-May-2025 to 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-May-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
