Annexure II-  Nifty 50 Index : April 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7362378430,134082.79,1.22,1.26,0.33,2.79,-4.48,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,115518.8,1.05,1.43,0.49,3.13,-9.18,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4894968560,95074.38,0.87,0.89,0.24,2.35,5.98,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,139013.59,1.27,0.76,0.22,1.36,10.33,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,114639.45,1.04,1.25,0.21,4.14,-2.87,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2946774100,135066.88,1.23,1.06,0.39,1.45,1.14,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,20943711336,68409.19,0.62,0.98,0.24,2.18,-7.91,0.03
,,,,,10977772.44,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 30-Apr-2024 to 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2025 to 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
