Annexure II-  Nifty 50 Index : February 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
46,TECHM,Tech Mahindra Ltd.,Computers - Software & Consulting,4898606665,85960.30,0.75,1.00,0.22,2.05,-22.10,0.03
47,TITAN,Titan Company Ltd.,"Gems, Jewellery And Watches",887786160,178117.92,1.56,0.63,0.14,1.22,8.80,0.02
48,TRENT,Trent Ltd.,Speciality Retail,355487461,86276.46,0.75,1.46,0.24,1.87,3.01,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,2946791710,149861.49,1.31,0.82,0.30,1.40,-0.13,0.02
50,WIPRO,Wipro Ltd.,Computers - Software & Consulting,20973437508,57218.74,0.50,0.91,0.19,1.59,-15.17,0.02
,,,,,11445337.00,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 03-Mar-2025 to 27-Feb-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2026 to 27-Feb-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs. Impact Cost for NIFTY 50 is the weightage average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 27-Feb-2026,,,,,,,,,,,
