Annexure II-  Nifty 50 Index : May 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
46,TECHM,Tech Mahindra Ltd.,Computers - Software & Consulting,4898898455,93941.69,0.87,0.62,0.10,1.98,0.71,0.03
47,TITAN,Titan Company Ltd.,"Gems, Jewellery And Watches",887786160,167676.88,1.56,0.99,0.31,2.22,-7.08,0.02
48,TRENT,Trent Ltd.,Speciality Retail,355487461,93459.78,0.87,1.25,0.25,1.60,1.92,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,2946791710,135591.31,1.26,1.29,0.55,1.32,-0.90,0.03
50,WIPRO,Wipro Ltd.,Computers - Software & Consulting,20976248870,58206.34,0.54,0.63,0.12,1.34,1.79,0.02
,,,,,10761900.93,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-Jun-2025 to 29-May-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 04-May-2026 to 29-May-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs. Impact Cost for NIFTY 50 is the weightage average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 29-May-2026,,,,,,,,,,,
