Annexure II-  Nifty 50 Index : October 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989403547,65123.65,0.60,0.58,0.11,2.04,-16.24,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7361768240,176780.66,1.63,1.09,0.26,1.58,-14.43,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,122941.46,1.13,1.49,0.46,1.33,-11.86,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4891061850,101936.16,0.94,0.83,0.19,1.76,1.99,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,134990.04,1.24,0.69,0.17,1.14,-14.56,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,158143.55,1.46,0.91,0.11,2.37,-5.89,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886973180,126124.05,1.16,1.12,0.44,1.28,-6.24,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10462585398,77908.05,0.72,1.06,0.25,1.76,1.91,0.02
,,,,,10853869.13,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2023 to 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2024 to 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
