rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1700566605.0,6564.0,,1.16,0.53,2.31,,0.12,2009-02-01,nifty50_feb09.csv
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2179465931.0,55249.0,,0.43,0.25,0.98,,0.07,2009-02-01,nifty50_feb09.csv
18,ICICIBANK,ICICI Bank Ltd.,BANKS,11128076110.0,36450.0,,1.62,0.76,3.61,,0.08,2009-02-01,nifty50_feb09.csv
19,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,31000952090.0,14570.0,,1.07,0.49,2.81,0.0,0.15,2009-02-01,nifty50_feb09.csv
20,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2863207515.0,70506.0,,0.73,0.42,2.06,,0.07,2009-02-01,nifty50_feb09.csv
21,ITC,I T C Ltd.,CIGARETTES,3773052670.0,69066.0,,0.51,0.35,0.78,1.64,0.07,2009-02-01,nifty50_feb09.csv
22,LT,Larsen & Toubro Ltd.,ENGINEERING,1171154648.0,35940.0,,1.11,0.66,2.49,,0.07,2009-02-01,nifty50_feb09.csv
23,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2585693650.0,8060.0,,0.93,0.37,4.18,3.13,0.11,2009-02-01,nifty50_feb09.csv
24,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300.0,19568.0,,0.69,0.35,2.65,19.18,0.08,2009-02-01,nifty50_feb09.csv
25,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,6443096280.0,13418.0,,0.95,0.31,2.79,4.62,0.14,2009-02-01,nifty50_feb09.csv
26,NTPC,NTPC Ltd.,POWER,82454644000.0,152541.0,,0.84,0.62,1.55,,0.09,2009-02-01,nifty50_feb09.csv
27,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300.0,147796.0,,0.85,0.55,2.48,5.5,0.1,2009-02-01,nifty50_feb09.csv
28,PNB,Punjab National Bank,BANKS,3153025000.0,10645.0,,0.9,0.52,2.83,,0.08,2009-02-01,nifty50_feb09.csv
29,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300.0,40784.0,,0.88,0.5,2.89,9.8,0.12,2009-02-01,nifty50_feb09.csv
30,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2101848765.0,6802.0,,0.64,0.17,5.2,,0.1,2009-02-01,nifty50_feb09.csv
31,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405.0,32085.0,,1.45,0.59,2.93,,0.1,2009-02-01,nifty50_feb09.csv
32,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000.0,8660.0,,1.63,0.67,3.53,,0.08,2009-02-01,nifty50_feb09.csv
33,RELIANCE,Reliance Industries Ltd.,REFINERIES,15737980330.0,199251.0,,1.24,0.76,2.65,,0.07,2009-02-01,nifty50_feb09.csv
34,RELINFRA,Reliance Infrastructure Ltd.,POWER,2277702620.0,11185.0,,1.78,0.72,3.44,,0.08,2009-02-01,nifty50_feb09.csv
35,RPL,Reliance Petroleum Ltd.,REFINERIES,45000000000.0,34358.0,,1.04,0.64,2.02,,0.1,2009-02-01,nifty50_feb09.csv
36,RPOWER,Reliance Power Ltd.,POWER,23968000000.0,23956.0,,1.05,0.25,2.17,,0.1,2009-02-01,nifty50_feb09.csv
37,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,41304005450.0,31412.0,,1.25,0.55,3.34,,0.12,2009-02-01,nifty50_feb09.csv
38,SBIN,State Bank of India,BANKS,6348802220.0,65094.0,,1.08,0.62,2.06,,0.08,2009-02-01,nifty50_feb09.csv
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400.0,7345.0,,0.99,0.41,3.02,5.57,0.12,2009-02-01,nifty50_feb09.csv
40,STER,Sterlite Industries (India) Ltd.,METALS,1416971700.0,17347.0,,1.31,0.53,3.22,,0.1,2009-02-01,nifty50_feb09.csv
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955.0,21074.0,,0.26,0.07,1.73,,0.09,2009-02-01,nifty50_feb09.csv
42,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,2996590800.0,6091.0,,1.55,0.49,3.02,,0.12,2009-02-01,nifty50_feb09.csv
43,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,2850000000.0,11524.0,,1.03,0.45,2.56,,0.14,2009-02-01,nifty50_feb09.csv
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,4499331670.0,6718.0,,1.06,0.49,3.58,,0.09,2009-02-01,nifty50_feb09.csv
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2214244430.0,16094.0,,1.01,0.5,1.78,,0.1,2009-02-01,nifty50_feb09.csv
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,7307674270.0,12628.0,,1.37,0.59,3.93,,0.08,2009-02-01,nifty50_feb09.csv
47,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,978610498.0,47277.0,,0.87,0.44,2.16,,0.1,2009-02-01,nifty50_feb09.csv
48,UNITECH,Unitech Ltd.,CONSTRUCTION,3246750000.0,4586.0,,1.67,0.42,3.64,,0.14,2009-02-01,nifty50_feb09.csv
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2927760696.0,30376.0,,1.0,0.52,2.29,,0.11,2009-02-01,nifty50_feb09.csv
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,434007111.0,4637.0,,0.81,0.28,5.52,,0.12,2009-02-01,nifty50_feb09.csv
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750.0,9042.0,,0.89,0.53,2.36,16.2,0.09,2009-03-01,nifty50_mar09.csv
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1876839780.0,10781.0,,0.7,0.38,2.22,6.36,0.08,2009-03-01,nifty50_mar09.csv
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3045198848.0,10750.0,,0.88,0.41,2.25,11.09,0.13,2009-03-01,nifty50_mar09.csv
4,AXISBANK,Axis Bank Ltd.,BANKS,3590051180.0,14897.0,,1.38,0.62,5.61,19.27,0.1,2009-03-01,nifty50_mar09.csv
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18982397960.0,118782.0,,0.96,0.61,2.79,,0.09,2009-03-01,nifty50_mar09.csv
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000.0,73944.0,,1.02,0.59,2.92,7.6,0.07,2009-03-01,nifty50_mar09.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240.0,13596.0,,0.52,0.17,2.63,,0.08,2009-03-01,nifty50_mar09.csv
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18966678160.0,34918.0,,1.0,0.38,3.0,10.21,0.1,2009-03-01,nifty50_mar09.csv
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1554582714.0,17104.0,,0.51,0.31,1.83,14.91,0.1,2009-03-01,nifty50_mar09.csv
10,DLF,DLF Ltd.,CONSTRUCTION,3394462032.0,28395.0,,1.54,0.56,4.73,10.07,0.1,2009-03-01,nifty50_mar09.csv
11,GAIL,GAIL (India) Ltd.,GAS,12684774000.0,31154.0,,0.79,0.44,2.86,20.63,0.11,2009-03-01,nifty50_mar09.csv
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,916745340.0,14504.0,,0.72,0.37,2.72,15.22,0.07,2009-03-01,nifty50_mar09.csv
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1339523712.0,6835.0,,1.0,0.38,3.18,1.85,0.12,2009-03-01,nifty50_mar09.csv
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2844539800.0,40171.0,,1.24,0.62,4.16,10.8,0.07,2009-03-01,nifty50_mar09.csv
15,HDFCBANK,HDFC Bank Ltd.,BANKS,4253775590.0,41406.0,,1.04,0.59,3.25,9.43,0.09,2009-03-01,nifty50_mar09.csv
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000.0,21390.0,,0.36,0.17,2.19,15.21,0.07,2009-03-01,nifty50_mar09.csv
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1700566605.0,8851.0,,1.18,0.55,4.41,34.84,0.11,2009-03-01,nifty50_mar09.csv
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2179799957.0,51770.0,,0.44,0.27,2.26,,0.09,2009-03-01,nifty50_mar09.csv
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11128115150.0,37034.0,,1.64,0.74,5.28,1.6,0.08,2009-03-01,nifty50_mar09.csv
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,31000952090.0,15531.0,,1.09,0.5,3.33,6.6,0.14,2009-03-01,nifty50_mar09.csv
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2864150215.0,75837.0,,0.7,0.41,2.26,7.52,0.06,2009-03-01,nifty50_mar09.csv
22,ITC,I T C Ltd.,CIGARETTES,3774399560.0,69770.0,,0.53,0.36,2.67,0.98,0.09,2009-03-01,nifty50_mar09.csv
23,LT,Larsen & Toubro Ltd.,ENGINEERING,1171154648.0,39316.0,,1.12,0.67,3.51,9.39,0.08,2009-03-01,nifty50_mar09.csv
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2788212650.0,10697.0,,0.98,0.4,3.07,23.08,0.09,2009-03-01,nifty50_mar09.csv
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300.0,22531.0,,0.72,0.37,2.44,15.14,0.07,2009-03-01,nifty50_mar09.csv
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,6443096280.0,13830.0,,0.98,0.32,3.16,3.07,0.15,2009-03-01,nifty50_mar09.csv
27,NTPC,NTPC Ltd.,POWER,82454644000.0,148295.0,,0.79,0.56,2.04,,0.09,2009-03-01,nifty50_mar09.csv
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300.0,166875.0,,0.85,0.55,2.78,12.91,0.1,2009-03-01,nifty50_mar09.csv
29,PNB,Punjab National Bank,BANKS,3153025000.0,12973.0,,0.96,0.52,5.08,21.88,0.09,2009-03-01,nifty50_mar09.csv
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300.0,40237.0,,0.82,0.48,1.89,,0.11,2009-03-01,nifty50_mar09.csv
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2101848765.0,6966.0,,0.7,0.18,4.36,2.41,0.07,2009-03-01,nifty50_mar09.csv
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405.0,36090.0,,1.5,0.59,4.62,12.48,0.08,2009-03-01,nifty50_mar09.csv
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000.0,8682.0,,1.56,0.64,5.93,0.26,0.06,2009-03-01,nifty50_mar09.csv
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,15737980330.0,239965.0,,1.25,0.74,3.34,20.43,0.05,2009-03-01,nifty50_mar09.csv
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,2277702620.0,11743.0,,1.79,0.74,5.03,4.99,0.06,2009-03-01,nifty50_mar09.csv
36,RPL,Reliance Petroleum Ltd.,REFINERIES,45000000000.0,42795.0,,1.03,0.64,3.09,24.56,0.08,2009-03-01,nifty50_mar09.csv
37,RPOWER,Reliance Power Ltd.,POWER,23968000000.0,24531.0,,1.04,0.25,3.34,2.4,0.09,2009-03-01,nifty50_mar09.csv
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,41304005450.0,39838.0,,1.28,0.55,4.67,26.82,0.09,2009-03-01,nifty50_mar09.csv
39,SBIN,State Bank of India,BANKS,6348802220.0,67748.0,,1.1,0.64,3.86,4.08,0.06,2009-03-01,nifty50_mar09.csv
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400.0,9039.0,,0.99,0.41,3.63,23.07,0.09,2009-03-01,nifty50_mar09.csv
41,STER,Sterlite Industries (India) Ltd.,METALS,1416971700.0,25335.0,,1.34,0.53,3.66,46.05,0.07,2009-03-01,nifty50_mar09.csv
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955.0,23020.0,,0.28,0.08,2.36,9.23,0.07,2009-03-01,nifty50_mar09.csv
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,2996590800.0,6345.0,,1.55,0.49,4.16,4.18,0.09,2009-03-01,nifty50_mar09.csv
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,2850000000.0,14773.0,,1.03,0.45,3.2,28.19,0.11,2009-03-01,nifty50_mar09.csv
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,4499331670.0,8112.0,,1.15,0.5,5.15,20.76,0.07,2009-03-01,nifty50_mar09.csv
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2214244430.0,17019.0,,1.03,0.52,3.86,5.74,0.08,2009-03-01,nifty50_mar09.csv
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,7307674270.0,15047.0,,1.44,0.62,5.49,19.16,0.07,2009-03-01,nifty50_mar09.csv
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,978610498.0,52703.0,,0.9,0.44,3.88,11.48,0.09,2009-03-01,nifty50_mar09.csv
49,UNITECH,Unitech Ltd.,CONSTRUCTION,3246750000.0,5666.0,,1.68,0.42,5.31,23.54,0.12,2009-03-01,nifty50_mar09.csv
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2927930736.0,35999.0,,0.99,0.52,2.7,18.51,0.08,2009-03-01,nifty50_mar09.csv
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750.0,10320.0,,0.88,0.52,3.57,14.13,0.14,2009-04-01,nifty50_apr09.csv
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1876846780.0,12281.0,,0.71,0.38,2.55,13.92,0.1,2009-04-01,nifty50_apr09.csv
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3045201848.0,12333.0,,0.9,0.42,3.98,14.73,0.16,2009-04-01,nifty50_apr09.csv
4,AXISBANK,Axis Bank Ltd.,BANKS,3590051180.0,20007.0,,1.39,0.62,4.7,34.31,0.09,2009-04-01,nifty50_apr09.csv
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18982397960.0,142890.0,,0.94,0.61,2.6,20.3,0.11,2009-04-01,nifty50_apr09.csv
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000.0,81050.0,,1.03,0.61,3.38,9.61,0.09,2009-04-01,nifty50_apr09.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240.0,14015.0,,0.49,0.15,1.82,3.08,0.1,2009-04-01,nifty50_apr09.csv
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18966678160.0,35212.0,,1.03,0.41,3.99,0.84,0.12,2009-04-01,nifty50_apr09.csv
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1554582714.0,18713.0,,0.52,0.31,3.19,9.41,0.1,2009-04-01,nifty50_apr09.csv
10,DLF,DLF Ltd.,CONSTRUCTION,3394428226.0,39078.0,,1.59,0.58,5.86,37.63,0.13,2009-04-01,nifty50_apr09.csv
11,GAIL,GAIL (India) Ltd.,GAS,12684774000.0,32530.0,,0.8,0.45,2.91,4.42,0.13,2009-04-01,nifty50_apr09.csv
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,916745340.0,16331.0,,0.73,0.38,2.81,12.59,0.1,2009-04-01,nifty50_apr09.csv
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1339682624.0,8698.0,,1.01,0.38,5.17,27.24,0.15,2009-04-01,nifty50_apr09.csv
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2844539800.0,49124.0,,1.23,0.62,3.58,22.29,0.08,2009-04-01,nifty50_apr09.csv
15,HDFCBANK,HDFC Bank Ltd.,BANKS,4253841090.0,46807.0,,1.01,0.59,2.27,13.04,0.11,2009-04-01,nifty50_apr09.csv
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000.0,23616.0,,0.36,0.18,2.26,10.41,0.09,2009-04-01,nifty50_apr09.csv
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1700566605.0,9141.0,,1.18,0.55,4.22,3.27,0.15,2009-04-01,nifty50_apr09.csv
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2179876077.0,51173.0,,0.43,0.26,2.66,,0.08,2009-04-01,nifty50_apr09.csv
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11128130890.0,53326.0,,1.64,0.74,4.8,43.99,0.1,2009-04-01,nifty50_apr09.csv
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,31000952090.0,17996.0,,1.09,0.52,3.29,15.87,0.17,2009-04-01,nifty50_apr09.csv
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2864150215.0,86454.0,,0.69,0.42,2.53,14.0,0.09,2009-04-01,nifty50_apr09.csv
22,ITC,I T C Ltd.,CIGARETTES,3774399560.0,71298.0,,0.5,0.32,2.31,2.19,0.09,2009-04-01,nifty50_apr09.csv
23,LT,Larsen & Toubro Ltd.,ENGINEERING,1171394824.0,51503.0,,1.13,0.67,4.02,30.97,0.1,2009-04-01,nifty50_apr09.csv
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2788212650.0,13605.0,,1.0,0.41,4.09,27.19,0.11,2009-04-01,nifty50_apr09.csv
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300.0,23517.0,,0.72,0.37,2.74,4.38,0.09,2009-04-01,nifty50_apr09.csv
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,6443096280.0,13582.0,,0.96,0.32,3.62,,0.17,2009-04-01,nifty50_apr09.csv
27,NTPC,NTPC Ltd.,POWER,82454644000.0,156664.0,,0.79,0.56,2.49,5.64,0.12,2009-04-01,nifty50_apr09.csv
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300.0,184959.0,,0.87,0.56,3.02,10.84,0.12,2009-04-01,nifty50_apr09.csv
29,PNB,Punjab National Bank,BANKS,3153025000.0,15068.0,,0.96,0.5,3.98,16.15,0.1,2009-04-01,nifty50_apr09.csv
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300.0,38974.0,,0.82,0.48,3.08,,0.13,2009-04-01,nifty50_apr09.csv
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2101848765.0,6978.0,,0.7,0.19,3.17,0.18,0.13,2009-04-01,nifty50_apr09.csv
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405.0,44335.0,,1.51,0.61,4.97,22.85,0.12,2009-04-01,nifty50_apr09.csv
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000.0,12883.0,,1.59,0.64,5.39,48.39,0.11,2009-04-01,nifty50_apr09.csv
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,15737982330.0,284267.0,,1.25,0.76,2.59,18.46,0.07,2009-04-01,nifty50_apr09.csv
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,2277702620.0,15835.0,,1.81,0.74,5.09,34.85,0.11,2009-04-01,nifty50_apr09.csv
36,RPL,Reliance Petroleum Ltd.,REFINERIES,45000000000.0,50265.0,,1.03,0.66,2.47,17.46,0.1,2009-04-01,nifty50_apr09.csv
37,RPOWER,Reliance Power Ltd.,POWER,23968000000.0,29553.0,,1.04,0.25,3.7,20.47,0.14,2009-04-01,nifty50_apr09.csv
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,41304005450.0,45104.0,,1.29,0.58,4.09,13.22,0.13,2009-04-01,nifty50_apr09.csv
39,SBIN,State Bank of India,BANKS,6348802220.0,81176.0,,1.11,0.64,3.62,19.82,0.1,2009-04-01,nifty50_apr09.csv
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400.0,10388.0,,1.01,0.42,3.87,14.92,0.16,2009-04-01,nifty50_apr09.csv
41,STER,Sterlite Industries (India) Ltd.,METALS,1416971700.0,29051.0,,1.36,0.55,4.81,14.67,0.12,2009-04-01,nifty50_apr09.csv
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955.0,26478.0,,0.28,0.08,2.62,15.02,0.11,2009-04-01,nifty50_apr09.csv
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,2996590800.0,9529.0,,1.62,0.5,7.5,50.18,0.13,2009-04-01,nifty50_apr09.csv
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,2850000000.0,15632.0,,1.01,0.46,2.57,5.82,0.13,2009-04-01,nifty50_apr09.csv
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,4499331670.0,10969.0,,1.24,0.52,7.19,35.22,0.13,2009-04-01,nifty50_apr09.csv
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2214244430.0,19857.0,,1.03,0.52,3.24,16.68,0.08,2009-04-01,nifty50_apr09.csv
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,7307674270.0,17400.0,,1.45,0.62,5.77,15.64,0.11,2009-04-01,nifty50_apr09.csv
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,978610498.0,61026.0,,0.89,0.46,2.84,15.79,0.11,2009-04-01,nifty50_apr09.csv
49,UNITECH,Unitech Ltd.,CONSTRUCTION,4088879870.0,9006.0,,1.68,0.4,8.2,26.22,0.15,2009-04-01,nifty50_apr09.csv
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2928023886.0,48437.0,,0.98,0.52,3.94,34.55,0.14,2009-04-01,nifty50_apr09.csv
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750.0,13794.0,,0.86,0.5,4.96,33.67,0.14,2009-05-01,nifty50_may09.csv
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1876846780.0,14686.0,,0.7,0.41,4.23,19.58,0.19,2009-05-01,nifty50_may09.csv
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3045576848.0,13949.0,,0.86,0.44,4.4,13.09,0.21,2009-05-01,nifty50_may09.csv
4,AXISBANK,Axis Bank Ltd.,BANKS,3594416070.0,27999.0,,1.33,0.66,5.48,39.77,0.14,2009-05-01,nifty50_may09.csv
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18983112560.0,155832.0,,1.02,0.66,7.18,9.05,0.17,2009-05-01,nifty50_may09.csv
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000.0,106625.0,,1.02,0.66,5.22,31.55,0.11,2009-05-01,nifty50_may09.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240.0,16801.0,,0.53,0.19,4.73,19.88,0.17,2009-05-01,nifty50_may09.csv
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18966678160.0,43974.0,,0.98,0.45,4.12,24.89,0.14,2009-05-01,nifty50_may09.csv
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1554582714.0,17318.0,,0.5,0.32,3.82,,0.14,2009-05-01,nifty50_may09.csv
10,DLF,DLF Ltd.,CONSTRUCTION,3394428226.0,68992.0,,1.55,0.56,8.46,76.55,0.16,2009-05-01,nifty50_may09.csv
11,GAIL,GAIL (India) Ltd.,GAS,12684774000.0,38054.0,,0.78,0.48,3.76,16.98,0.18,2009-05-01,nifty50_may09.csv
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,916745340.0,19281.0,,0.76,0.44,4.8,18.06,0.19,2009-05-01,nifty50_may09.csv
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1339682624.0,11180.0,,1.01,0.41,4.67,28.53,0.24,2009-05-01,nifty50_may09.csv
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2845034520.0,62010.0,,1.26,0.66,6.65,26.21,0.19,2009-05-01,nifty50_may09.csv
15,HDFCBANK,HDFC Bank Ltd.,BANKS,4254545300.0,61457.0,,1.0,0.64,4.31,31.28,0.18,2009-05-01,nifty50_may09.csv
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000.0,26701.0,,0.48,0.26,5.81,13.06,0.21,2009-05-01,nifty50_may09.csv
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1700566605.0,14395.0,,1.12,0.53,4.81,57.49,0.17,2009-05-01,nifty50_may09.csv
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2179876077.0,50312.0,,0.41,0.28,2.21,,0.09,2009-05-01,nifty50_may09.csv
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11128143390.0,82365.0,,1.6,0.74,7.02,54.46,0.19,2009-05-01,nifty50_may09.csv
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,31000952090.0,26087.0,,1.11,0.56,5.86,44.96,0.16,2009-05-01,nifty50_may09.csv
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2864150215.0,91945.0,,0.7,0.44,4.84,6.35,0.14,2009-05-01,nifty50_may09.csv
22,ITC,I T C Ltd.,CIGARETTES,3774399560.0,69317.0,,0.52,0.38,3.67,,0.19,2009-05-01,nifty50_may09.csv
23,LT,Larsen & Toubro Ltd.,ENGINEERING,1171394824.0,82126.0,,1.18,0.72,6.72,59.46,0.22,2009-05-01,nifty50_may09.csv
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2788212650.0,18650.0,,1.06,0.48,6.39,37.08,0.17,2009-05-01,nifty50_may09.csv
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300.0,29674.0,,0.69,0.38,3.87,26.18,0.11,2009-05-01,nifty50_may09.csv
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,6443096280.0,22815.0,,0.92,0.32,4.91,67.98,0.26,2009-05-01,nifty50_may09.csv
27,NTPC,NTPC Ltd.,POWER,82454644000.0,177607.0,,0.74,0.56,3.06,13.37,0.12,2009-05-01,nifty50_may09.csv
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300.0,250088.0,,0.88,0.59,5.02,35.21,0.17,2009-05-01,nifty50_may09.csv
